City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
271,bontang,0.1333,117.5,297.57,92,73,1.93,ID,1688831631
272,tamanrasset,22.785,5.5228,310.1,7,0,6.69,DZ,1688831631
273,coruripe,-10.1256,-36.1756,299.24,81,65,5.01,BR,1688831631
274,longyearbyen,78.2186,15.6401,282.06,71,75,7.72,SJ,1688831631
275,atafu village,-8.5421,-172.5159,301.44,77,88,8.69,TK,1688831631
276,fort bragg,35.139,-79.006,305.27,69,100,0.0,US,1688831632
277,rye,40.9807,-73.6837,304.39,73,40,2.06,US,1688831632
278,nar'yan-mar,67.6713,53.087,280.62,76,98,4.71,RU,1688831632
279,egilsstadir,65.2653,-14.3948,292.1,63,20,4.12,IS,1688831632
280,codo,-4.4553,-43.8856,305.64,43,55,1.86,BR,1688831632
281,yuli,9.6989,10.2744,305.24,45,94,2.46,NG,1688831632
282,csurgo,46.2531,17.1006,302.67,40,10,0.99,HU,1688831633
283,san vicente de canete,-13.0751,-76.3835,293.82,68,67,2.66,PE,1688831633
284,al bawiti,28.3492,28.8659,309.63,18,1,6.38,EG,1688831633
285,shihezi,44.3,86.0333,298.1,45,100,2.28,CN,1688831633
286,santa elena de uairen,4.6167,-61.1333,299.7,55,44,4.86,VE,1688831633
287,guiuan,11.0333,125.7247,301.73,80,100,4.59,PH,1688831633
288,nizao,18.25,-70.2,305.02,52,20,6.05,DO,1688831633
289,kertih,4.5141,103.4483,297.16,100,99,0.0,MY,1688831633
290,perros-guirec,48.8145,-3.4396,294.54,68,0,3.6,FR,1688831634
291,ketchikan,55.3422,-131.6461,290.41,82,0,4.63,US,1688831598
292,tazovsky,67.4667,78.7,286.13,69,86,4.03,RU,1688831634
293,bayanhongor,46.7167,100.1167,289.51,47,99,2.22,MN,1688831634
294,aweil,8.7682,27.4002,300.38,68,78,1.32,SS,1688831634
295,ulladulla,-35.35,150.4667,285.07,58,4,5.76,AU,1688831634
296,ambon,-3.6954,128.1814,300.3,15,40,3.09,ID,1688831634
297,nguigmi,14.2495,13.1092,303.76,49,73,5.71,NE,1688831634
298,pori,61.4833,21.7833,293.19,68,0,4.63,FI,1688831484
299,paradip garh,20.3167,86.6167,302.47,81,100,4.38,IN,1688831635
300,fagundes,-7.355,-35.775,299.37,73,75,4.12,BR,1688831635
301,nago,26.5881,127.9761,302.39,89,35,5.2,JP,1688831635
302,atherton,53.5237,-2.4935,294.98,89,100,0.89,GB,1688831635
303,turgen,43.4006,77.5933,292.22,74,100,4.1,KZ,1688831635
304,richards bay,-28.783,32.0377,293.83,60,23,1.34,ZA,1688831636
305,elin pelin,42.6667,23.6,297.05,53,75,5.14,BG,1688831636
306,shahpura,27.3833,75.9667,302.24,74,85,2.59,IN,1688831636
307,rabo de peixe,37.8,-25.5833,294.88,56,20,3.6,PT,1688831636
308,aasiaat,68.7098,-52.8699,276.61,96,100,4.59,GL,1688831636
309,glendive,47.1053,-104.7125,295.24,56,0,4.12,US,1688831636
310,sao vicente,-23.9631,-46.3919,303.13,30,0,7.72,BR,1688831571
311,mil'kovo,55.6078,37.7956,296.42,62,99,2.66,RU,1688831637
312,pacific grove,36.6177,-121.9166,288.97,82,75,7.15,US,1688831637
313,jamestown,42.097,-79.2353,297.05,48,0,2.57,US,1688831637
314,tucuma,-0.1833,-50.05,303.74,59,21,3.21,BR,1688831637
315,"laikit, laikit ii (dimembe)",1.4792,124.9735,295.62,100,40,1.03,ID,1688831637
316,hamilton,39.1834,-84.5333,297.44,88,100,4.63,US,1688831371
317,san pedro pochutla,15.7333,-96.4667,302.43,69,100,1.58,MX,1688831417
318,antofagasta,-23.65,-70.4,289.75,68,49,4.31,CL,1688831637
319,karukh,34.4811,62.5863,298.03,20,0,10.8,AF,1688831638
320,hammerfest,70.6634,23.6821,285.4,62,24,7.72,NO,1688831638
321,vadso,70.0744,29.7487,284.64,76,75,5.66,NO,1688831638
322,posto fiscal rolim de moura,-13.0833,-62.2667,308.03,31,0,2.2,BR,1688831638
